epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.002,0.125,25165896,4.46836e-08,1.25114e-05,18,720
0.05,0.125,49224,47.5194,74.2489,11,632
0.02,0.0625,524384,4.50148,6.93221,14,658
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,26,716
0.05,0.0625,65632,78.9907,123.529,12,652
0.02,0.03125,655480,3.72902,5.66169,19,682
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,748
0.05,0.03125,82040,33.3735,52.4554,17,657
0.02,0.015625,786576,3.48019,5.27428,23,695
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,37,764
0.05,0.015625,98448,40.6014,64.0199,23,666
0.02,0.0078125,917672,2.50253,4.08615,27,737
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,47,844
0.05,0.0078125,114856,31.8179,49.8325,27,680
0.02,0.00390625,1048768,2.65061,4.1691,34,718
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,50,821
0.05,0.00390625,131264,33.7164,53.4329,32,691
0.02,0.00195312,1179864,2.466,3.86463,40,746
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,61,840
0.05,0.00195312,147672,23.5395,37.2747,36,696
0.02,0.000976562,1310960,2.37591,3.61574,46,751
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,65,894
0.05,0.000976562,164080,26.1401,40.9777,43,709
0.02,0.000488281,1442056,2.12346,3.30522,52,761
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,76,914
0.05,0.000488281,180488,23.8212,37.3305,49,730
0.02,0.000244141,1573152,1.99999,3.07393,57,784
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,80,966
0.05,0.000244141,196896,19.4466,30.4791,56,731
0.02,0.00012207,1704248,2.30598,3.56239,67,818
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,86,965
0.05,0.00012207,213304,19.1781,30.0887,65,740
0.02,6.10352e-05,1835344,1.79875,2.80785,72,839
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,89,997
0.05,6.10352e-05,229712,19.1683,30.1747,66,777
0.02,3.05176e-05,1966440,1.57864,2.47386,81,836
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,100,1035
0.05,3.05176e-05,246120,18.7769,29.3044,70,778
0.02,1.52588e-05,2097536,1.61051,2.49192,87,861
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,111,1073
0.05,1.52588e-05,262528,16.0555,25.558,80,776
0.02,7.62939e-06,2228632,1.34894,2.11728,109,867
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,129,1070
0.05,7.62939e-06,278936,16.259,25.696,95,787
0.02,3.8147e-06,2359728,1.40848,2.1925,116,907
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,143,1124
0.05,3.8147e-06,295344,14.5457,23.3928,101,799
0.02,1.90735e-06,2490824,1.39267,2.19684,130,903
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,144,1133
0.05,1.90735e-06,311752,16.9505,26.5782,111,832
0.02,0.25,262192,19.8625,33.2794,6,635
0.002,0.25,16777264,4.46836e-08,1.25114e-05,15,656
0.05,0.25,32816,122.765,194.332,6,675
0.02,0.125,393288,6.09563,9.3331,11,650
0.002,0.125,25165896,4.46836e-08,1.25114e-05,22,672
0.05,0.125,49224,46.7403,73.4732,10,624
0.02,0.0625,524384,5.19519,8.13066,15,679
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,26,719
0.05,0.0625,65632,52.3079,82.0636,13,681
0.02,0.03125,655480,3.40556,5.2149,19,683
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,35,757
0.05,0.03125,82040,32.417,51.2951,18,651
0.02,0.015625,786576,3.5551,5.40572,21,689
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,40,794
0.05,0.015625,98448,37.701,58.7175,21,678
0.02,0.0078125,917672,3.50583,5.51431,28,711
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,44,813
0.05,0.0078125,114856,27.0505,42.8371,26,675
0.02,0.00390625,1048768,4.24106,6.64591,39,825
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,49,853
0.05,0.00390625,131264,27.9639,44.0303,31,694
0.02,0.00195312,1179864,2.19961,3.43146,39,739
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,58,858
0.05,0.00195312,147672,23.291,36.7071,36,694
0.02,0.000976562,1310960,2.07016,3.2371,46,752
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,78,978
0.05,0.000976562,164080,22.8425,35.7291,52,969
0.02,0.000488281,1442056,2.16693,3.40836,57,1103
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,84,1295
0.05,0.000488281,180488,21.4757,33.8802,58,857
0.02,0.000244141,1573152,2.26662,3.5057,65,921
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,84,1013
0.05,0.000244141,196896,22.1287,34.8789,56,800
0.02,0.00012207,1704248,1.86841,2.91732,75,870
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,95,1056
0.05,0.00012207,213304,21.217,33.3597,71,842
0.02,6.10352e-05,1835344,1.45763,2.3126,73,876
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,93,987
0.05,6.10352e-05,229712,19.7747,31.0551,66,760
0.02,3.05176e-05,1966440,1.49469,2.30325,83,848
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,106,1061
0.05,3.05176e-05,246120,17.5269,27.4982,76,774
0.02,1.52588e-05,2097536,2.00892,3.11395,86,853
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,108,1041
0.05,1.52588e-05,262528,15.5744,24.8651,81,790
0.02,7.62939e-06,2228632,1.53257,2.37146,102,865
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,128,1058
0.05,7.62939e-06,278936,17.5258,27.4052,98,804
0.02,3.8147e-06,2359728,1.54474,2.40117,111,889
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,133,1099
0.05,3.8147e-06,295344,16.6049,25.9379,105,793
0.02,1.90735e-06,2490824,1.41074,2.19286,122,896
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,135,1137
0.05,1.90735e-06,311752,14.7455,23.5584,109,826
0.02,0.25,262192,16.1547,26.5518,7,621
0.002,0.25,16777264,4.46836e-08,1.25114e-05,11,658
0.05,0.25,32816,120.36,189.754,5,617
0.02,0.125,393288,6.40297,9.62616,9,667
0.002,0.125,25165896,4.46836e-08,1.25114e-05,16,682
0.05,0.125,49224,39.8818,64.3608,10,626
0.02,0.0625,524384,5.45614,8.34014,14,675
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,26,828
0.05,0.0625,65632,45.1283,70.1314,13,645
0.02,0.03125,655480,3.56486,5.46755,19,677
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,28,754
0.05,0.03125,82040,27.6591,45.3029,17,654
0.02,0.015625,786576,4.79615,8.15397,23,682
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,37,771
0.05,0.015625,98448,32.2916,50.838,23,669
0.02,0.0078125,917672,2.8301,4.51093,27,729
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,48,800
0.05,0.0078125,114856,28.1125,43.998,27,679
0.02,0.00390625,1048768,3.21657,5.29702,34,726
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,49,830
0.05,0.00390625,131264,30.289,48.0611,30,682
0.02,0.00195312,1179864,2.02148,3.20252,39,735
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,67,845
0.05,0.00195312,147672,24.6722,38.6763,37,704
0.02,0.000976562,1310960,2.35713,3.75265,44,755
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,70,894
0.05,0.000976562,164080,26.9804,42.1688,41,708
0.02,0.000488281,1442056,1.83231,2.8768,54,829
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,71,903
0.05,0.000488281,180488,20.2666,32.0063,49,720
0.02,0.000244141,1573152,2.08082,3.24377,59,782
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,78,935
0.05,0.000244141,196896,19.4154,30.4488,54,744
0.02,0.00012207,1704248,1.69842,2.5941,64,802
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,83,958
0.05,0.00012207,213304,19.1116,30.1189,58,750
0.02,6.10352e-05,1835344,1.61446,2.52787,71,833
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,95,1000
0.05,6.10352e-05,229712,26.3981,41.6496,68,761
0.02,3.05176e-05,1966440,1.62163,2.53937,81,837
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,96,1022
0.05,3.05176e-05,246120,18.5613,29.1321,74,794
0.02,1.52588e-05,2097536,2.61121,4.02057,90,847
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,122,1076
0.05,1.52588e-05,262528,19.614,30.7853,83,782
0.02,7.62939e-06,2228632,1.50609,2.32767,105,887
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,129,1084
0.05,7.62939e-06,278936,15.5887,24.9279,95,820
0.02,3.8147e-06,2359728,1.31519,2.04503,115,882
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,139,1150
0.05,3.8147e-06,295344,17.0936,26.8374,104,802
0.02,1.90735e-06,2490824,1.35469,2.12315,124,904
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,135,1136
0.05,1.90735e-06,311752,16.386,25.7087,113,806
0.02,0.25,262192,27.4978,42.3317,8,633
0.002,0.25,16777264,0.235069,0.297884,14,728
0.05,0.25,32816,116.303,181.431,6,665
0.02,0.125,393288,5.65593,8.55268,13,666
0.002,0.125,25165896,4.46836e-08,1.25114e-05,20,724
0.05,0.125,49224,44.8929,70.7991,10,629
0.02,0.0625,524384,6.55119,10.2001,12,664
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,25,720
0.05,0.0625,65632,45.1376,70.8549,13,639
0.02,0.03125,655480,3.82001,6.03481,19,663
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,33,746
0.05,0.03125,82040,37.712,59.2745,20,698
0.02,0.015625,786576,2.58903,4.23346,25,818
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,41,770
0.05,0.015625,98448,28.2269,44.5557,24,661
0.02,0.0078125,917672,2.97872,4.81626,28,744
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,49,797
0.05,0.0078125,114856,28.9803,45.3632,27,677
0.02,0.00390625,1048768,2.53803,3.88195,32,723
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,53,826
0.05,0.00390625,131264,27.338,43.6988,32,704
0.02,0.00195312,1179864,2.36085,3.64015,39,757
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,62,849
0.05,0.00195312,147672,21.1131,34.0679,38,694
0.02,0.000976562,1310960,1.94835,3.0669,45,753
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,65,894
0.05,0.000976562,164080,23.0103,36.4921,42,714
0.02,0.000488281,1442056,2.37642,3.70842,53,767
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,69,905
0.05,0.000488281,180488,21.3262,33.4536,47,708
0.02,0.000244141,1573152,1.7278,2.6629,60,790
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,82,948
0.05,0.000244141,196896,20.4972,32.156,55,742
0.02,0.00012207,1704248,1.80386,2.78758,65,803
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,86,965
