epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,1.52588e-05,2097536,1.37306,2.16591,71,141
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,82,261
0.05,1.52588e-05,262528,19.2375,30.3991,67,119
0.02,7.62939e-06,2228632,1.41285,2.2154,86,146
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,100,270
0.05,7.62939e-06,278936,17.8184,27.8491,82,131
0.02,3.8147e-06,2359728,1.42419,2.22785,97,153
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,126,352
0.05,3.8147e-06,295344,16.0756,25.5524,100,152
0.02,1.90735e-06,2490824,1.42031,2.21116,106,200
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,116,394
0.05,1.90735e-06,311752,15.581,24.5007,107,178
0.02,0.25,262192,19.3495,28.7113,8,26
0.002,0.25,16777264,5.81073,8.58742,10,32
0.05,0.25,32816,120.018,188.183,5,23
0.02,0.125,393288,7.48801,11.3929,15,43
0.002,0.125,25165896,4.46836e-08,1.25114e-05,23,78
0.05,0.125,49224,47.5733,74.8125,11,32
0.02,0.0625,524384,8.02296,12.5167,14,42
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,25,83
0.05,0.0625,65632,43.6839,68.0832,13,39
0.02,0.03125,655480,3.34247,5.23698,17,55
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,42,109
0.05,0.03125,82040,24.6292,40.7134,17,50
0.02,0.015625,786576,3.14552,5.15115,25,63
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,36,99
0.05,0.015625,98448,31.3852,49.1051,21,56
0.02,0.0078125,917672,2.62824,4.02024,27,67
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,41,134
0.05,0.0078125,114856,26.7509,42.1652,26,60
0.02,0.00390625,1048768,3.44269,5.28342,32,84
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,44,137
0.05,0.00390625,131264,30.6453,48.4823,28,69
0.02,0.00195312,1179864,2.08095,3.25037,37,84
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,54,181
0.05,0.00195312,147672,28.4103,44.6669,36,88
0.02,0.000976562,1310960,3.45768,5.66812,41,99
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,59,191
0.05,0.000976562,164080,22.6759,35.7893,40,85
0.02,0.000488281,1442056,1.98989,3.04381,47,105
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,65,185
0.05,0.000488281,180488,21.9302,34.2669,45,92
0.02,0.000244141,1573152,1.65935,2.58608,59,124
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,93,215
0.05,0.000244141,196896,18.852,29.9012,48,111
