epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.0328125,1e-05,608984,6.47521,156,1172,1e-05
0.0232019,1e-05,1114520,6.61948,130,943,0.1
0.0232019,1e-05,1114568,5.414,126,905,0.01
0.0232019,1e-05,1115496,5.11003,182,714,0.001
0.0232019,1e-05,1141448,4.13006,136,894,0.0001
0.0232019,1e-05,1166040,4.01398,126,914,1e-05
0.0164062,1e-05,2228632,2.29646,127,741,0.1
0.0164062,1e-05,2228680,2.66559,128,724,0.01
0.0164062,1e-05,2229608,2.34722,128,852,0.001
0.0164062,1e-05,2255560,1.95121,178,858,0.0001
0.0164062,1e-05,2280152,1.84258,183,1155,1e-05
0.011601,1e-05,4456856,0.867617,129,1086,0.1
0.011601,1e-05,4456904,1.38245,137,877,0.01
0.011601,1e-05,4457832,1.00817,176,904,0.001
0.011601,1e-05,4483784,0.806473,129,975,0.0001
0.011601,1e-05,4508376,0.709034,172,1051,1e-05
0.00820312,1e-05,8913304,0.092084,161,881,0.1
0.00820312,1e-05,8913352,0.0582782,123,866,0.01
0.00820312,1e-05,8914280,0.162461,125,812,0.001
0.00820312,1e-05,8940232,0.0736547,150,911,0.0001
0.00820312,1e-05,8964824,0.0472932,147,956,1e-05
0.00580049,1e-05,17826200,0.000125114,153,916,0.1
0.00580049,1e-05,17826248,3.75343e-05,136,972,0.01
0.00580049,1e-05,17827176,0.000112603,148,1005,0.001
0.00580049,1e-05,17853128,6.25571e-05,143,943,0.0001
0.00580049,1e-05,17877720,0.000738174,135,985,1e-05
0.00410156,1e-05,35651992,0.000975891,232,1180,0.1
0.00410156,1e-05,35652040,0,225,1081,0.01
0.00410156,1e-05,35652968,0,294,1054,0.001
0.00410156,1e-05,35678920,0,133,1142,0.0001
0.00410156,1e-05,35703512,0,160,1047,1e-05
0.00290024,1e-05,71303576,0,149,875,0.1
0.00290024,1e-05,71303624,0,141,856,0.01
0.00290024,1e-05,71304552,0,151,902,0.001
0.00290024,1e-05,71330504,0,211,1508,0.0001
0.00290024,1e-05,71355096,0,230,1471,1e-05
0.742462,0.002,792,2168.35,85,686,0.1
0.742462,0.002,840,1640.98,74,721,0.01
0.742462,0.002,1768,1159.29,75,832,0.001
0.742462,0.002,27720,488.064,74,781,0.0001
0.742462,0.002,52312,301.928,74,920,1e-05
0.525,0.002,1368,1474.8,80,619,0.1
0.525,0.002,1416,1228.67,82,722,0.01
0.525,0.002,2344,683.16,77,809,0.001
0.525,0.002,28296,281.352,74,966,0.0001
0.525,0.002,52888,241.15,72,889,1e-05
0.371231,0.002,2520,845.888,68,688,0.1
0.371231,0.002,2568,769.548,78,621,0.01
0.371231,0.002,3496,507.758,77,651,0.001
0.371231,0.002,29448,191.894,81,907,0.0001
0.371231,0.002,54040,165.349,70,875,1e-05
0.2625,0.002,4824,535.868,103,765,0.1
0.2625,0.002,4872,553.261,81,772,0.01
0.2625,0.002,5800,399.249,78,811,0.001
0.2625,0.002,31752,131.627,79,990,0.0001
0.2625,0.002,56344,131.08,73,907,1e-05
0.185616,0.002,9432,350.284,76,683,0.1
0.185616,0.002,9480,320.501,73,688,0.01
0.185616,0.002,10408,256.066,74,710,0.001
0.185616,0.002,36360,89.0142,76,875,0.0001
0.185616,0.002,60952,82.4062,74,912,1e-05
0.13125,0.002,18648,227.029,78,726,0.1
0.13125,0.002,18696,200.207,75,710,0.01
0.13125,0.002,19624,165.97,73,757,0.001
0.13125,0.002,45576,62.9549,77,852,0.0001
0.13125,0.002,70168,58.829,70,872,1e-05
0.0928078,0.002,37080,123.597,75,647,0.1
0.0928078,0.002,37128,121.23,77,690,0.01
0.0928078,0.002,38056,110.326,72,653,0.001
0.0928078,0.002,64008,43.426,76,838,0.0001
0.0928078,0.002,88600,36.1619,78,871,1e-05
0.065625,0.002,73944,69.6293,74,724,0.1
0.065625,0.002,73992,69.0571,72,676,0.01
0.065625,0.002,74920,66.3649,73,678,0.001
0.065625,0.002,100872,28.1019,74,873,0.0001
0.065625,0.002,125464,27.541,79,939,1e-05
0.0464039,0.002,147672,36.1894,74,733,0.1
0.0464039,0.002,147720,35.9588,71,673,0.01
0.0464039,0.002,148648,37.4625,70,675,0.001
0.0464039,0.002,174600,19.2607,71,812,0.0001
0.0464039,0.002,199192,16.4451,73,907,1e-05
0.0328125,0.002,295128,17.127,77,692,0.1
0.0328125,0.002,295176,17.4139,72,653,0.01
0.0328125,0.002,296104,18.241,70,665,0.001
0.0328125,0.002,322056,10.6496,70,818,0.0001
0.0328125,0.002,346648,9.03303,72,841,1e-05
0.0232019,0.002,590040,9.52105,72,679,0.1
0.0232019,0.002,590088,10.8231,80,671,0.01
0.0232019,0.002,591016,7.76501,72,680,0.001
0.0232019,0.002,616968,6.7954,77,835,0.0001
0.0232019,0.002,641560,4.95726,68,848,1e-05
0.0164062,0.002,1179864,3.2908,72,660,0.1
0.0164062,0.002,1179912,4.34204,71,654,0.01
0.0164062,0.002,1180840,3.35302,71,677,0.001
0.0164062,0.002,1206792,4.13979,75,809,0.0001
0.0164062,0.002,1231384,3.56027,73,887,1e-05
0.011601,0.002,2359512,1.31457,79,802,0.1
0.011601,0.002,2359560,1.69621,74,774,0.01
0.011601,0.002,2360488,1.4648,75,795,0.001
0.011601,0.002,2386440,1.24844,78,859,0.0001
0.011601,0.002,2411032,1.1399,73,893,1e-05
0.00820312,0.002,4718808,0.233788,71,704,0.1
0.00820312,0.002,4718856,0.193902,72,703,0.01
0.00820312,0.002,4719784,0.275977,87,721,0.001
0.00820312,0.002,4745736,0.200308,73,848,0.0001
0.00820312,0.002,4770328,0.248164,90,895,1e-05
0.00580049,0.002,9437400,0.00703142,77,722,0.1
0.00580049,0.002,9437448,0.0557884,84,718,0.01
0.00580049,0.002,9438376,0.165789,85,744,0.001
0.00580049,0.002,9464328,0.00115105,76,855,0.0001
0.00580049,0.002,9488920,0.00496703,76,890,1e-05
0.00410156,0.002,18874584,0,84,731,0.1
0.00410156,0.002,18874632,0,89,741,0.01
0.00410156,0.002,18875560,0,83,755,0.001
0.00410156,0.002,18901512,0,90,849,0.0001
0.00410156,0.002,18926104,0,82,884,1e-05
0.00290024,0.002,37748952,0,85,745,0.1
0.00290024,0.002,37749000,0,92,793,0.01
0.00290024,0.002,37749928,0,88,843,0.001
0.00290024,0.002,37775880,0,92,901,0.0001
0.00290024,0.002,37800472,0,101,938,1e-05
0.742462,0.03125,440,2675.77,51,628,0.1
0.742462,0.03125,488,2004.41,50,611,0.01
0.742462,0.03125,1416,1788.9,51,627,0.001
0.742462,0.03125,27368,680.707,59,869,0.0001
0.742462,0.03125,51960,480.462,51,987,1e-05
0.525,0.03125,760,2017.77,55,647,0.1
0.525,0.03125,808,1694.38,80,610,0.01
