epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.015625,12336,1257.98,1984.24,7,542
0.002,0.015625,98352,93.1786,146.262,7,531
0.05,0.015625,6192,2066.79,3327.49,7,519
0.02,0.0078125,14392,1229.4,1939.61,7,529
0.002,0.0078125,114744,89.4573,140.466,7,538
0.05,0.0078125,7224,2736.13,4316.97,7,599
0.02,0.00390625,16448,1221.68,1926.78,10,554
0.002,0.00390625,131136,86.1664,135.313,8,570
0.05,0.00390625,8256,2651.93,4185.89,9,613
0.02,0.00195312,18504,1185.68,1870.63,13,857
0.002,0.00195312,147528,80.6281,128.876,13,619
0.05,0.00195312,9288,2570.33,4060.26,12,666
0.02,0.000976562,20560,1187.03,1873.72,11,545
0.002,0.000976562,163920,73.2557,116.299,9,551
0.05,0.000976562,10320,2532.42,4000.9,9,539
0.02,0.000488281,22616,1177.17,1857.49,10,542
0.002,0.000488281,180312,78.4758,123.483,11,560
0.05,0.000488281,11352,2638.93,4166.29,10,559
0.02,0.000244141,24672,1077.29,1701.24,11,554
0.002,0.000244141,196704,79.0986,124.279,12,562
0.05,0.000244141,12384,2601.58,4106.75,11,607
0.02,0.00012207,26728,1151.16,1816.53,12,569
0.002,0.00012207,213096,68.1533,108.139,12,576
0.05,0.00012207,13416,2504.74,3956.48,12,560
0.02,6.10352e-05,28784,1149.74,1813.64,13,564
0.002,6.10352e-05,229488,67.281,107.47,12,620
0.05,6.10352e-05,14448,2574.35,4063.37,12,566
0.02,3.05176e-05,30840,1137.29,1794.16,13,568
0.002,3.05176e-05,245880,74.1389,116.714,13,578
0.05,3.05176e-05,15480,2569.41,4056.95,14,566
0.02,1.52588e-05,32896,1120.64,1769.12,14,576
0.002,1.52588e-05,262272,74.82,117.502,15,585
0.05,1.52588e-05,16512,2539.47,4008.01,14,573
0.02,7.62939e-06,34952,1123.6,1773.13,14,594
0.002,7.62939e-06,278664,70.4682,111.09,15,605
0.05,7.62939e-06,17544,2527.65,3989.47,15,583
0.02,3.8147e-06,37008,1046.95,1654.74,15,587
0.002,3.8147e-06,295056,68.9535,109.242,18,654
0.05,3.8147e-06,18576,1653.21,2679.74,17,637
0.02,1.90735e-06,39064,1099.19,1734.54,16,630
0.002,1.90735e-06,311448,68.8166,108.357,17,645
0.05,1.90735e-06,19608,2425.67,3832.64,18,706
0.02,0.25,4112,1470.32,2320.96,4,625
0.002,0.25,32784,140.242,220.558,3,553
0.05,0.25,2064,3171.72,5005.61,4,563
0.02,0.125,6168,1401.36,2210.81,4,568
0.002,0.125,49176,118.433,185.765,5,566
0.05,0.125,3096,2541.33,4027.06,4,507
0.02,0.0625,8224,1271.25,2007.58,5,546
0.002,0.0625,65568,101.819,160.976,5,546
0.05,0.0625,4128,2863.67,4519.34,6,627
0.02,0.03125,10280,1293.31,2040.84,6,554
0.002,0.03125,81960,99.4949,156.215,6,568
