epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.00429688,1e-05,140376,280.897,46,659,0.001
0.00429688,1e-05,166328,222.921,45,810,0.0001
0.00429688,1e-05,190920,195.213,46,820,1e-05
0.00214844,1e-05,278664,109.806,51,665,0.1
0.00214844,1e-05,278712,109.364,50,680,0.01
0.00214844,1e-05,279640,110.126,45,736,0.001
0.00214844,1e-05,305592,90.439,52,795,0.0001
0.00214844,1e-05,330184,80.2193,46,957,1e-05
0.00107422,1e-05,557192,38.8624,49,706,0.1
0.00107422,1e-05,557240,37.9399,47,631,0.01
0.00107422,1e-05,558168,38.499,55,857,0.001
0.00107422,1e-05,584120,33.0462,45,840,0.0001
0.00107422,1e-05,608712,28.7792,46,883,1e-05
0.000537109,1e-05,1114248,12.6412,53,747,0.1
0.000537109,1e-05,1114296,12.4855,47,724,0.01
0.000537109,1e-05,1115224,12.0925,64,814,0.001
0.000537109,1e-05,1141176,11.0212,55,796,0.0001
0.000537109,1e-05,1165768,10.2916,55,997,1e-05
0.000268555,1e-05,2228360,3.63946,57,699,0.1
0.000268555,1e-05,2228408,3.46263,65,806,0.01
0.000268555,1e-05,2229336,3.60037,73,950,0.001
0.000268555,1e-05,2255288,3.17595,50,953,0.0001
0.000268555,1e-05,2279880,3.15896,49,859,1e-05
0.000134277,1e-05,4456584,0.6025,48,663,0.1
0.000134277,1e-05,4456632,0.761307,56,834,0.01
0.000134277,1e-05,4457560,0.546386,48,784,0.001
0.000134277,1e-05,4483512,0.595644,55,979,0.0001
0.000134277,1e-05,4508104,0.513956,50,947,1e-05
6.71387e-05,1e-05,8913032,0.00035032,76,878,0.1
6.71387e-05,1e-05,8913080,0.000738174,103,1040,0.01
6.71387e-05,1e-05,8914008,0.00017516,71,876,0.001
6.71387e-05,1e-05,8939960,0.00026274,78,973,0.0001
6.71387e-05,1e-05,8964552,0.000162648,94,1224,1e-05
3.35693e-05,1e-05,17825928,0,102,1172,0.1
3.35693e-05,1e-05,17825976,0,139,1075,0.01
3.35693e-05,1e-05,17826904,0,95,1320,0.001
3.35693e-05,1e-05,17852856,0,82,1007,0.0001
3.35693e-05,1e-05,17877448,0,85,1064,1e-05
1.67847e-05,1e-05,35651720,0,113,941,0.1
1.67847e-05,1e-05,35651768,0,111,1111,0.01
1.67847e-05,1e-05,35652696,0,91,1058,0.001
1.67847e-05,1e-05,35678648,0,94,1164,0.0001
1.67847e-05,1e-05,35703240,0,102,1237,1e-05
8.39233e-06,1e-05,71303304,0,87,986,0.1
8.39233e-06,1e-05,71303352,0,88,831,0.01
8.39233e-06,1e-05,71304280,0,94,902,0.001
8.39233e-06,1e-05,71330232,0,97,942,0.0001
8.39233e-06,1e-05,71354824,0,98,990,1e-05
4.19617e-06,1e-05,142606472,0,88,841,0.1
4.19617e-06,1e-05,142606520,0,92,849,0.01
4.19617e-06,1e-05,142607448,0,99,910,0.001
4.19617e-06,1e-05,142633400,0,100,976,0.0001
4.19617e-06,1e-05,142657992,0,95,1102,1e-05
2.09808e-06,1e-05,285212808,0,116,947,0.1
2.09808e-06,1e-05,285212856,0,176,1202,0.01
2.09808e-06,1e-05,285213784,0,98,956,0.001
2.09808e-06,1e-05,285239736,0,94,926,0.0001
2.09808e-06,1e-05,285264328,0,107,1000,1e-05
0.275,0.002,1224,40163.3,48,685,0.1
0.275,0.002,1272,40430.3,45,696,0.01
0.275,0.002,2200,36934.7,43,635,0.001
0.275,0.002,28152,22540.4,45,826,0.0001
0.275,0.002,52744,19493.7,44,823,1e-05
0.1375,0.002,2376,19037.6,45,648,0.1
0.1375,0.002,2424,18932.8,47,696,0.01
0.1375,0.002,3352,17649.1,48,748,0.001
0.1375,0.002,29304,10963.9,41,786,0.0001
0.1375,0.002,53896,9506.81,49,815,1e-05
0.06875,0.002,4680,8933.78,41,601,0.1
0.06875,0.002,4728,8980.4,49,726,0.01
0.06875,0.002,5656,8427.9,52,1149,0.001
0.06875,0.002,31608,5350.25,41,893,0.0001
0.06875,0.002,56200,4619.94,45,802,1e-05
0.034375,0.002,9288,4089.42,40,593,0.1
0.034375,0.002,9336,4031.15,40,604,0.01
0.034375,0.002,10264,3883.42,44,723,0.001
0.034375,0.002,36216,2556.67,40,786,0.0001
0.034375,0.002,60808,2220.8,38,797,1e-05
0.0171875,0.002,18504,1819.65,38,584,0.1
0.0171875,0.002,18552,1818.29,39,562,0.01
0.0171875,0.002,19480,1759.78,39,588,0.001
0.0171875,0.002,45432,1198.41,39,723,0.0001
0.0171875,0.002,70024,1045.37,39,754,1e-05
0.00859375,0.002,36936,779.281,37,557,0.1
0.00859375,0.002,36984,782.12,38,563,0.01
0.00859375,0.002,37912,772.78,38,653,0.001
0.00859375,0.002,63864,548.211,39,723,0.0001
0.00859375,0.002,88456,471.95,39,762,1e-05
0.00429688,0.002,73800,315.905,39,555,0.1
0.00429688,0.002,73848,321.478,41,563,0.01
0.00429688,0.002,74776,317.625,39,596,0.001
0.00429688,0.002,100728,240.232,39,721,0.0001
0.00429688,0.002,125320,210.809,39,759,1e-05
0.00214844,0.002,147528,124.886,40,561,0.1
0.00214844,0.002,147576,123.417,38,569,0.01
0.00214844,0.002,148504,124.999,40,586,0.001
0.00214844,0.002,174456,99.8432,41,738,0.0001
0.00214844,0.002,199048,87.3275,43,855,1e-05
