epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.00214844,0.002,150728,120.821,39,668,0.0005
0.00214844,0.002,174456,100.611,39,764,0.0001
0.00214844,0.002,187096,93.038,41,771,5e-05
0.00214844,0.002,199048,87.5208,48,899,1e-05
0.00107422,0.002,294984,45.3275,46,658,0.1
0.00107422,0.002,295032,45.2205,43,658,0.01
0.00107422,0.002,295096,45.6831,43,656,0.005
0.00107422,0.002,295960,45.9997,42,647,0.001
0.00107422,0.002,298184,45.7372,38,650,0.0005
0.00107422,0.002,321912,37.8653,48,804,0.0001
0.00107422,0.002,334552,35.4776,41,838,5e-05
0.00107422,0.002,346504,34.0429,41,834,1e-05
0.000537109,0.002,589896,14.873,41,675,0.1
0.000537109,0.002,589944,15.2835,41,646,0.01
0.000537109,0.002,590008,14.8048,44,655,0.005
0.000537109,0.002,590872,15.4687,49,707,0.001
0.000537109,0.002,593096,15.4025,47,746,0.0005
0.000537109,0.002,616824,13.5455,43,788,0.0001
0.000537109,0.002,629464,12.9108,44,805,5e-05
0.000537109,0.002,641416,12.0521,43,942,1e-05
0.000268555,0.002,1179720,4.26703,42,723,0.1
0.000268555,0.002,1179768,4.34087,46,640,0.01
0.000268555,0.002,1179832,4.39535,47,676,0.005
0.000268555,0.002,1180696,4.47186,42,702,0.001
0.000268555,0.002,1182920,4.41279,45,771,0.0005
0.000268555,0.002,1206648,3.9675,44,888,0.0001
0.000268555,0.002,1219288,4.01639,44,905,5e-05
0.000268555,0.002,1231240,3.60025,58,918,1e-05
0.000134277,0.002,2359368,1.03735,63,875,0.1
0.000134277,0.002,2359416,1.03444,71,862,0.01
0.000134277,0.002,2359480,0.861311,40,855,0.005
0.000134277,0.002,2360344,0.945,40,629,0.001
0.000134277,0.002,2362568,0.990003,48,681,0.0005
0.000134277,0.002,2386296,0.831133,46,828,0.0001
0.000134277,0.002,2398936,0.80252,53,950,5e-05
0.000134277,0.002,2410888,0.763409,42,914,1e-05
6.71387e-05,0.002,4718664,0.0541244,47,707,0.1
6.71387e-05,0.002,4718712,0.0793975,54,683,0.01
6.71387e-05,0.002,4718776,0.00740676,51,732,0.005
6.71387e-05,0.002,4719640,0.0120985,44,672,0.001
6.71387e-05,0.002,4721864,0.0255108,41,714,0.0005
6.71387e-05,0.002,4745592,0.00215196,78,1040,0.0001
6.71387e-05,0.002,4758232,0.0101217,44,859,5e-05
6.71387e-05,0.002,4770184,0.0143256,41,822,1e-05
3.35693e-05,0.002,9437256,0,46,685,0.1
3.35693e-05,0.002,9437304,0,57,740,0.01
3.35693e-05,0.002,9437368,0,48,756,0.005
3.35693e-05,0.002,9438232,0,77,851,0.001
3.35693e-05,0.002,9440456,0,59,785,0.0005
3.35693e-05,0.002,9464184,0,49,893,0.0001
3.35693e-05,0.002,9476824,0,52,852,5e-05
3.35693e-05,0.002,9488776,0,65,884,1e-05
1.67847e-05,0.002,18874440,0,61,778,0.1
1.67847e-05,0.002,18874488,0,69,762,0.01
1.67847e-05,0.002,18874552,0,60,726,0.005
1.67847e-05,0.002,18875416,0,62,727,0.001
1.67847e-05,0.002,18877640,0,73,837,0.0005
1.67847e-05,0.002,18901368,0,62,935,0.0001
1.67847e-05,0.002,18914008,0,76,913,5e-05
1.67847e-05,0.002,18925960,0,98,932,1e-05
8.39233e-06,0.002,37748808,0,77,748,0.1
8.39233e-06,0.002,37748856,0,67,699,0.01
8.39233e-06,0.002,37748920,0,66,692,0.005
8.39233e-06,0.002,37749784,0,61,751,0.001
8.39233e-06,0.002,37752008,0,62,743,0.0005
8.39233e-06,0.002,37775736,0,61,815,0.0001
8.39233e-06,0.002,37788376,0,61,835,5e-05
8.39233e-06,0.002,37800328,0,60,847,1e-05
4.19617e-06,0.002,75497544,0,65,669,0.1
4.19617e-06,0.002,75497592,0,65,685,0.01
4.19617e-06,0.002,75497656,0,61,667,0.005
4.19617e-06,0.002,75498520,0,62,686,0.001
4.19617e-06,0.002,75500744,0,65,715,0.0005
4.19617e-06,0.002,75524472,0,64,804,0.0001
4.19617e-06,0.002,75537112,0,62,822,5e-05
4.19617e-06,0.002,75549064,0,67,865,1e-05
2.09808e-06,0.002,150995016,0,73,694,0.1
2.09808e-06,0.002,150995064,0,68,715,0.01
2.09808e-06,0.002,150995128,0,65,688,0.005
2.09808e-06,0.002,150995992,0,69,717,0.001
2.09808e-06,0.002,150998216,0,66,761,0.0005
2.09808e-06,0.002,151021944,0,66,970,0.0001
2.09808e-06,0.002,151034584,0,70,906,5e-05
2.09808e-06,0.002,151046536,0,66,856,1e-05
0.275,0.03125,680,40993.5,38,594,0.1
0.275,0.03125,728,41359.2,49,629,0.01
0.275,0.03125,792,40362.1,45,710,0.005
0.275,0.03125,1656,37605,43,674,0.001
0.275,0.03125,3880,33991.2,41,711,0.0005
0.275,0.03125,27608,22795,41,852,0.0001
0.275,0.03125,40248,20874,43,888,5e-05
0.275,0.03125,52200,19765.7,42,894,1e-05
0.1375,0.03125,1320,19812.3,47,645,0.1
0.1375,0.03125,1368,19735.9,38,572,0.01
0.1375,0.03125,1432,19225.2,35,583,0.005
0.1375,0.03125,2296,18191.1,35,650,0.001
0.1375,0.03125,4520,16488,35,717,0.0005
0.1375,0.03125,28248,11221,35,709,0.0001
0.1375,0.03125,40888,10241,35,736,5e-05
0.1375,0.03125,52840,9692.02,42,817,1e-05
0.06875,0.03125,2600,9477.13,36,575,0.1
0.06875,0.03125,2648,9250.51,40,716,0.01
0.06875,0.03125,2712,9345.39,41,664,0.005
0.06875,0.03125,3576,8761.71,40,697,0.001
0.06875,0.03125,5800,8030.21,39,713,0.0005
0.06875,0.03125,29528,5485.74,35,838,0.0001
0.06875,0.03125,42168,4963.87,43,803,5e-05
0.06875,0.03125,54120,4721.83,42,915,1e-05
0.034375,0.03125,5160,4342.87,37,540,0.1
0.034375,0.03125,5208,4328.06,37,638,0.01
0.034375,0.03125,5272,4313,35,608,0.005
0.034375,0.03125,6136,4114.16,37,620,0.001
0.034375,0.03125,8360,3828.53,39,654,0.0005
0.034375,0.03125,32088,2637.91,36,768,0.0001
0.034375,0.03125,44728,2411.24,35,783,5e-05
0.034375,0.03125,56680,2269.58,37,785,1e-05
0.0171875,0.03125,10280,1968.79,36,553,0.1
0.0171875,0.03125,10328,1988.71,36,571,0.01
0.0171875,0.03125,10392,1972.85,36,592,0.005
0.0171875,0.03125,11256,1899.47,40,597,0.001
0.0171875,0.03125,13480,1777.94,35,619,0.0005
0.0171875,0.03125,37208,1255.1,36,744,0.0001
0.0171875,0.03125,49848,1155.85,36,754,5e-05
0.0171875,0.03125,61800,1049.81,40,802,1e-05
0.00859375,0.03125,20520,867.209,33,581,0.1
0.00859375,0.03125,20568,867.498,35,556,0.01
0.00859375,0.03125,20632,867.416,36,564,0.005
0.00859375,0.03125,21496,851.402,38,583,0.001
0.00859375,0.03125,23720,802.446,36,605,0.0005
0.00859375,0.03125,47448,583.459,36,730,0.0001
0.00859375,0.03125,60088,535.545,41,765,5e-05
0.00859375,0.03125,72040,505.494,38,791,1e-05
0.00429688,0.03125,41000,369.211,35,546,0.1
0.00429688,0.03125,41048,366.569,37,554,0.01
0.00429688,0.03125,41112,366.356,35,548,0.005
0.00429688,0.03125,41976,351.225,39,598,0.001
0.00429688,0.03125,44200,345.16,36,636,0.0005
0.00429688,0.03125,67928,263.518,37,784,0.0001
0.00429688,0.03125,80568,235.685,36,762,5e-05
0.00429688,0.03125,92520,226.433,38,801,1e-05
0.00214844,0.03125,81960,147.587,36,566,0.1
0.00214844,0.03125,82008,147.682,35,572,0.01
0.00214844,0.03125,82072,147.498,36,577,0.005
0.00214844,0.03125,82936,145.192,36,608,0.001
0.00214844,0.03125,85160,142.433,39,667,0.0005
0.00214844,0.03125,108888,112.998,40,747,0.0001
0.00214844,0.03125,121528,105.155,36,771,5e-05
0.00214844,0.03125,133480,98.8859,36,773,1e-05
0.00107422,0.03125,163880,56.8516,40,606,0.1
0.00107422,0.03125,163928,55.1605,34,607,0.01
0.00107422,0.03125,163992,55.3386,39,588,0.005
0.00107422,0.03125,164856,59.3099,43,666,0.001
0.00107422,0.03125,167080,53.7235,47,724,0.0005
0.00107422,0.03125,190808,45.3923,35,784,0.0001
0.00107422,0.03125,203448,42.0471,37,792,5e-05
0.00107422,0.03125,215400,41.474,38,848,1e-05
0.000537109,0.03125,327720,18.9024,39,651,0.1
0.000537109,0.03125,327768,19.043,36,602,0.01
0.000537109,0.03125,327832,19.0556,44,620,0.005
0.000537109,0.03125,328696,18.812,44,636,0.001
0.000537109,0.03125,330920,18.75,35,645,0.0005
0.000537109,0.03125,354648,16.5147,38,765,0.0001
0.000537109,0.03125,367288,15.6181,37,773,5e-05
0.000537109,0.03125,379240,15.5791,38,774,1e-05
0.000268555,0.03125,655400,5.63762,41,605,0.1
0.000268555,0.03125,655448,6.25593,36,578,0.01
0.000268555,0.03125,655512,8.34244,36,570,0.005
0.000268555,0.03125,656376,7.51974,36,600,0.001
0.000268555,0.03125,658600,5.78428,37,636,0.0005
0.000268555,0.03125,682328,5.10817,36,745,0.0001
0.000268555,0.03125,694968,4.94898,42,832,5e-05
0.000268555,0.03125,706920,4.68081,50,972,1e-05
0.000134277,0.03125,1310760,1.34335,45,796,0.1
0.000134277,0.03125,1310808,1.3057,45,758,0.01
0.000134277,0.03125,1310872,1.46764,42,751,0.005
0.000134277,0.03125,1311736,1.3035,38,653,0.001
0.000134277,0.03125,1313960,1.44912,37,678,0.0005
0.000134277,0.03125,1337688,1.32994,48,872,0.0001
0.000134277,0.03125,1350328,1.37815,44,894,5e-05
0.000134277,0.03125,1362280,1.09016,42,893,1e-05
6.71387e-05,0.03125,2621480,0.087142,53,743,0.1
6.71387e-05,0.03125,2621528,0.0393609,43,727,0.01
6.71387e-05,0.03125,2621592,0.125102,42,737,0.005
6.71387e-05,0.03125,2622456,0.0568269,37,728,0.001
6.71387e-05,0.03125,2624680,0.225593,44,750,0.0005
6.71387e-05,0.03125,2648408,0.181428,43,823,0.0001
6.71387e-05,0.03125,2661048,0.472318,41,835,5e-05
6.71387e-05,0.03125,2673000,0.0223204,41,795,1e-05
3.35693e-05,0.03125,5242920,0,43,607,0.1
3.35693e-05,0.03125,5242968,0,42,630,0.01
3.35693e-05,0.03125,5243032,0,42,645,0.005
3.35693e-05,0.03125,5243896,0,40,669,0.001
3.35693e-05,0.03125,5246120,0,39,682,0.0005
3.35693e-05,0.03125,5269848,0,41,789,0.0001
3.35693e-05,0.03125,5282488,0,39,795,5e-05
3.35693e-05,0.03125,5294440,0,43,798,1e-05
1.67847e-05,0.03125,10485800,0,48,604,0.1
1.67847e-05,0.03125,10485848,0,45,607,0.01
1.67847e-05,0.03125,10485912,0,46,710,0.005
1.67847e-05,0.03125,10486776,0,49,724,0.001
1.67847e-05,0.03125,10489000,0,43,781,0.0005
1.67847e-05,0.03125,10512728,0,46,794,0.0001
1.67847e-05,0.03125,10525368,0,47,801,5e-05
1.67847e-05,0.03125,10537320,0,48,831,1e-05
8.39233e-06,0.03125,20971560,0,49,639,0.1
8.39233e-06,0.03125,20971608,0,50,624,0.01
8.39233e-06,0.03125,20971672,0,51,631,0.005
8.39233e-06,0.03125,20972536,0,49,639,0.001
8.39233e-06,0.03125,20974760,0,49,676,0.0005
8.39233e-06,0.03125,20998488,0,49,785,0.0001
8.39233e-06,0.03125,21011128,0,48,854,5e-05
8.39233e-06,0.03125,21023080,0,73,961,1e-05
4.19617e-06,0.03125,41943080,0,50,651,0.1
4.19617e-06,0.03125,41943128,0,53,611,0.01
4.19617e-06,0.03125,41943192,0,51,634,0.005
4.19617e-06,0.03125,41944056,0,51,643,0.001
4.19617e-06,0.03125,41946280,0,48,668,0.0005
4.19617e-06,0.03125,41970008,0,52,778,0.0001
4.19617e-06,0.03125,41982648,0,48,796,5e-05
4.19617e-06,0.03125,41994600,0,52,816,1e-05
2.09808e-06,0.03125,83886120,0,53,606,0.1
2.09808e-06,0.03125,83886168,0,51,617,0.01
2.09808e-06,0.03125,83886232,0,58,699,0.005
2.09808e-06,0.03125,83887096,0,50,672,0.001
2.09808e-06,0.03125,83889320,0,53,675,0.0005
2.09808e-06,0.03125,83913048,0,53,773,0.0001
2.09808e-06,0.03125,83925688,0,53,799,5e-05
2.09808e-06,0.03125,83937640,0,52,821,1e-05
0.275,0.125,408,42346.3,34,542,0.1
0.275,0.125,456,42307,33,537,0.01
0.275,0.125,520,41692.5,37,680,0.005
0.275,0.125,1384,38217.2,34,566,0.001
0.275,0.125,3608,34557.8,34,605,0.0005
0.275,0.125,27336,23018.1,34,731,0.0001
0.275,0.125,39976,21107.3,34,753,5e-05
0.275,0.125,51928,19976.4,35,766,1e-05
0.1375,0.125,792,20824,34,532,0.1
0.1375,0.125,840,20258.7,32,540,0.01
0.1375,0.125,904,20165.9,34,546,0.005
0.1375,0.125,1768,18768.1,33,563,0.001
0.1375,0.125,3992,16830.1,35,597,0.0005
0.1375,0.125,27720,11320.7,33,714,0.0001
0.1375,0.125,40360,10402.3,34,739,5e-05
0.1375,0.125,52312,9772.4,34,768,1e-05
0.06875,0.125,1560,9814.35,33,530,0.1
0.06875,0.125,1608,9668.87,34,534,0.01
0.06875,0.125,1672,9715.22,34,542,0.005
0.06875,0.125,2536,9095.76,33,565,0.001
0.06875,0.125,4760,8182.78,33,598,0.0005
0.06875,0.125,28488,5611.66,35,728,0.0001
0.06875,0.125,41128,5125.25,38,863,5e-05
0.06875,0.125,53080,4859.81,36,906,1e-05
